Wavelength_nm,SculpinRh1-S3,CiscoRh1-C1,SculpinRh1-S1,CiscoRh1-C3,CiscoRh1-C2
382,0.041744631,0.028448484,0.027542129,0.038749826,0.028168869
381,0.039707744,0.027020844,0.026156929,0.036848114,0.026754308
380,0.037757677,0.02565662,0.024833452,0.035028172,0.025402643
379,0.035891441,0.024353453,0.023569389,0.033287133,0.024111529
378,0.034106103,0.023109045,0.022362493,0.031622196,0.022878684
377,0.032398799,0.02192116,0.021210577,0.03003062,0.021701887
376,0.030766726,0.020787624,0.020111515,0.028509731,0.02057898
375,0.029207146,0.019706326,0.019063244,0.027056921,0.019507864
374,0.02771739,0.018675213,0.018063761,0.025669647,0.018486504
373,0.026294853,0.017692295,0.017111121,0.024345431,0.017512923
372,0.024937,0.016755643,0.016203441,0.023081862,0.016585205
371,0.02364136,0.015863385,0.015338894,0.021876598,0.015701493
370,0.022405532,0.015013709,0.014515713,0.020727358,0.014859988
369,0.021227181,0.01420486,0.013732186,0.019631931,0.014058949
368,0.020104037,0.013435141,0.012986658,0.018588169,0.013296691
367,0.0190339,0.01270291,0.012277529,0.017593988,0.012571586
366,0.018014635,0.01200658,0.011603253,0.016647371,0.01188206
365,0.017044169,0.011344619,0.010962336,0.01574636,0.01122659
364,0.016120498,0.010715546,0.010353336,0.014889063,0.01060371
363,0.015241679,0.010117934,0.009774864,0.014073649,0.010012003
362,0.014405832,0.009550404,0.009225578,0.013298344,0.009450103
361,0.013611141,0.009011629,0.008704185,0.012561438,0.008916691
360,0.012855848,0.008500329,0.008209439,0.011861278,0.0084105
359,0.012138257,0.008015272,0.007740143,0.011196266,0.007930306
358,0.011456729,0.00755527,0.007295141,0.010564862,0.007474933
357,0.010809684,0.007119182,0.006873322,0.009965581,0.007043248
356,0.010195596,0.006705909,0.00647362,0.009396992,0.006634164
355,0.009612996,0.006314396,0.006095007,0.008857716,0.006246632
354,0.009060468,0.005943627,0.005736497,0.008346423,0.005879647
353,0.008536649,0.005592628,0.005397143,0.007861836,0.005532243
352,0.008040227,0.005260463,0.005076036,0.007402725,0.005203492
351,0.007569938,0.004946234,0.004772302,0.006967908,0.004892503
350,0.007124569,0.004649079,0.004485106,0.006556248,0.004598422
349,0.006702953,0.004368172,0.004213645,0.006166654,0.004320431
348,0.00630397,0.004102721,0.003957149,0.005798078,0.004057745
347,0.005926543,0.003851966,0.003714882,0.005449513,0.003809611
346,0.005569639,0.003615181,0.003486139,0.005119994,0.003575309
345,0.005232267,0.003391671,0.003270245,0.004808596,0.00335415
344,0.004913477,0.003180769,0.003066552,0.004514432,0.003145475
343,0.004612358,0.002981838,0.002874444,0.004236651,0.002948651
342,0.004328037,0.002794269,0.00269333,0.00397444,0.002763075
341,0.004059679,0.00261748,0.002522644,0.00372702,0.002588172
340,0.003806484,0.002450916,0.002361849,0.003493644,0.002423389
339,0.003567686,0.002294044,0.002210428,0.0032736,0.002268201
338,0.003342553,0.002146358,0.00206789,0.003066206,0.002122105
337,0.003130385,0.002007374,0.001933766,0.00287081,0.001984622
336,0.002930513,0.00187663,0.00180761,0.002686789,0.001855295
335,0.002742299,0.001753686,0.001688993,0.00251355,0.001733688
334,0.002565132,0.001638123,0.001577511,0.002350525,0.001619386
333,0.00239843,0.001529541,0.001472776,0.002197172,0.001511992
332,0.002241637,0.001427559,0.001374419,0.002052976,0.00141113
331,0.002094225,0.001331815,0.001282089,0.001917444,0.001316441
330,0.001955686,0.001241965,0.001195453,0.001790108,0.001227584
329,0.001825542,0.00115768,0.001114193,0.00167052,0.001144233
328,0.001703332,0.001078648,0.001038006,0.001558256,0.001066081
327,0.001588622,0.001004573,0.000966607,0.00145291,0.000992833
326,0.001480995,0.000935174,0.000899723,0.001354099,0.000924211
325,0.001380057,0.000870183,0.000837095,0.001261454,0.00085995
324,0.001285433,0.000809346,0.000778477,0.001174629,0.000799799
323,0.001196764,0.000752422,0.000723636,0.001093293,0.000743519
322,0.001113713,0.000699184,0.000672352,0.001017132,0.000690885
321,0.001035957,0.000649413,0.000624414,0.000945847,0.000641681
320,0.00096319,0.000602906,0.000579626,0.000879156,0.000595705
319,0.000895122,0.000559467,0.000537797,0.00081679,0.000552764
318,0.000831479,0.000518913,0.000498751,0.000758495,0.000512676
317,0.000771999,0.000481069,0.00046232,0.000704029,0.000475269
316,0.000716435,0.000445771,0.000428343,0.000653164,0.000440379
315,0.000664553,0.000412862,0.00039667,0.000605685,0.000407852
314,0.000616132,0.000382195,0.000367158,0.000561385,0.000377543
313,0.000570962,0.000353631,0.000339674,0.000520072,0.000349312
312,0.000528843,0.000327038,0.00031409,0.000481563,0.000323032
311,0.000489589,0.000302293,0.000290287,0.000445683,0.000298578
310,0.000453023,0.000279278,0.000268151,0.00041227,0.000275835
309,0.000418976,0.000257883,0.000247575,0.000381169,0.000254693
308,0.000387291,0.000238003,0.00022846,0.000352234,0.000235049
307,0.000357818,0.000219541,0.000210709,0.000325328,0.000216807
306,0.000330416,0.000202403,0.000194235,0.00030032,0.000199875
305,0.000304954,0.000186504,0.000178954,0.00027709,0.000184167
304,0.000281304,0.000171762,0.000164785,0.00025552,0.000169602
303,0.00025935,0.000158098,0.000151656,0.000235503,0.000156104
302,0.000238981,0.000145442,0.000139496,0.000216937,0.000143601
301,0.000220091,0.000133724,0.00012824,0.000199725,0.000132026
300,0.000202583,0.000122882,0.000117825,0.000183778,0.000121316
299,0.000186364,0.000112854,0.000108196,0.000169009,0.000111412
298,0.000171348,0.000103586,9.92959e-05,0.00015534,0.000102258
297,0.000157452,9.50242e-05,9.10755e-05,0.000142695,9.38015e-05
296,0.0001446,8.71191e-05,8.34869e-05,0.000131005,8.59943e-05
295,0.000132721,7.98245e-05,7.64854e-05,0.000120202,7.87905e-05
294,0.000121747,7.30972e-05,7.00293e-05,0.000110225,7.21471e-05
293,0.000111614,6.68966e-05,6.40796e-05,0.000101017,6.60242e-05
292,0.000102263,6.11848e-05,5.85997e-05,9.25226e-05,6.03841e-05
291,9.36398e-05,5.59264e-05,5.35554e-05,8.46913e-05,5.5192e-05
290,8.56913e-05,5.10882e-05,4.8915e-05,7.74755e-05,5.0415e-05
289,7.83694e-05,4.66393e-05,4.46487e-05,7.08309e-05,4.60227e-05
288,7.16286e-05,4.25509e-05,4.07286e-05,6.47158e-05,4.19864e-05
287,6.54266e-05,3.87961e-05,3.71289e-05,5.90914e-05,3.82796e-05
286,5.97238e-05,3.53497e-05,3.38255e-05,5.39215e-05,3.48775e-05
