Wavelength_nm,SculpinRh1-S3,CiscoRh1-C1,SculpinRh1-S1,CiscoRh1-C3,CiscoRh1-C2
552,0.44441592,0.59301084,0.6240492,0.4505006,0.62086175
551,0.45591521,0.61818034,0.64575187,0.48350874,0.64636373
550,0.47488737,0.63574865,0.66593292,0.52164573,0.6631719
549,0.49814086,0.67046612,0.68198183,0.51875914,0.66662251
548,0.50977445,0.68861669,0.68794702,0.55625003,0.67703752
547,0.52568927,0.69324195,0.70947862,0.58802628,0.70162012
546,0.5381084,0.69171979,0.71892458,0.56615673,0.7175787
545,0.56729335,0.72533417,0.71426235,0.58426771,0.74193754
544,0.57010926,0.69638186,0.73551419,0.61581722,0.74133381
543,0.59865899,0.71568786,0.7444447,0.61582115,0.75065778
542,0.62292799,0.76737039,0.75662569,0.63206222,0.76393561
541,0.62384306,0.78472154,0.76366884,0.60822875,0.78551788
540,0.64959939,0.80164448,0.79616825,0.67777421,0.81076054
539,0.66961975,0.82451804,0.80252946,0.67673236,0.80961654
538,0.67490978,0.82394927,0.83763378,0.77809588,0.82894161
537,0.69226675,0.84855019,0.84715025,0.78523733,0.84908514
536,0.71358295,0.89202843,0.83681446,0.70229544,0.84308036
535,0.7176403,0.88501005,0.86607587,0.76698509,0.86138598
534,0.72346685,0.83480798,0.88428307,0.79632162,0.86636197
533,0.75327301,0.8786433,0.89141996,0.79588847,0.8868462
532,0.77396752,0.91227458,0.88317725,0.75127399,0.89681813
531,0.78359384,0.9024314,0.90175879,0.80373108,0.9113341
530,0.79360827,0.89596786,0.91837214,0.8202852,0.91565406
529,0.81467131,0.91876827,0.93594557,0.85055532,0.910735
528,0.82910257,0.93007457,0.93450374,0.86207882,0.93854072
527,0.83888786,0.94041116,0.93631042,0.88081726,0.94939797
526,0.86937318,0.99982123,0.94403353,0.84206436,0.93756516
525,0.86324604,0.97557381,0.94247022,0.8741827,0.95556501
524,0.86681964,0.96283168,0.95858159,0.90054666,0.95722
523,0.90961625,1.01244286,0.96806497,0.87584823,0.96533899
522,0.89274346,0.98492453,0.96845118,0.90468624,0.95981205
521,0.90026168,1.00959286,0.98022411,0.92060725,0.97765502
520,0.91766539,1.01865857,0.97734073,0.89784899,0.97351053
519,0.94180786,1.04585445,0.97988958,0.91531825,0.97673056
518,0.92400674,0.98940653,0.9923741,0.95142661,0.99367946
517,0.95379688,1.00692279,0.9869898,0.94112052,0.98882035
516,0.95891608,1.00720748,0.9936119,0.95604871,0.99159135
515,0.96366998,0.9874595,0.99648126,0.96085985,0.99803582
514,0.95274522,0.97329697,0.99427867,0.98097663,0.99899103
513,0.96969885,0.99620417,1.0144108,1.02725143,1.00310139
512,0.95714233,0.97210049,1.00693251,1.02166857,1.00142849
511,0.97410225,1.01734293,1.01527463,1.07817724,1.00356212
510,0.99284119,1.02155051,0.99396453,0.98323079,0.99083452
509,0.99352222,1.01115465,0.99144261,1.01300654,0.98329238
508,0.97568013,0.97899149,0.98892028,0.9907782,0.99459068
507,0.98722747,0.99757257,0.99566342,1.0357127,0.99003872
506,1.00596892,1.00042213,0.99028195,1.00331105,0.99082671
505,1.00131213,1.00408619,0.98309648,1.02989651,0.99044501
504,0.99654071,0.98078464,0.9840714,1.03871163,0.9809706
503,1.01130293,1.00702014,0.97687832,1.02465451,0.98311317
502,0.99906944,0.96561177,0.9692414,1.0090231,0.98815845
501,0.99554435,0.97533989,0.97023151,1.00197093,0.98222364
500,0.99153781,0.97464886,0.94924051,0.98257183,0.96566743
499,1.00907186,1.00376312,0.94442084,0.97197665,0.96942748
498,0.9882789,0.98934016,0.93142865,0.96981354,0.96762146
497,0.97973123,0.94187676,0.94193589,0.99491461,0.95003693
496,0.99969894,0.95680104,0.92748354,0.96960366,0.95521046
495,0.98988263,0.93411315,0.92953541,1.00796811,0.95314627
494,0.9831982,0.94901667,0.93107735,0.97594548,0.93411525
493,0.9802475,0.92745997,0.915517,0.98952033,0.92024527
492,0.97197886,0.91736785,0.89318389,0.94282233,0.92004719
491,0.9758718,0.93070996,0.89181294,0.95067579,0.90309547
490,0.96742297,0.91525636,0.87512055,0.93118681,0.89615469
489,0.97928514,0.9139607,0.86273216,0.90308046,0.8881951
488,0.96717365,0.89795979,0.84861274,0.87824747,0.8977916
487,0.95853826,0.89449984,0.84609844,0.92485328,0.87132014
486,0.95430132,0.89103654,0.83991075,0.91141724,0.85781839
485,0.94136937,0.89597317,0.83049071,0.91723355,0.84648852
484,0.92826285,0.84468899,0.81246127,0.90615521,0.83526135
483,0.91505178,0.84631746,0.80047242,0.89069948,0.83212029
482,0.91002346,0.82703793,0.79444182,0.91026021,0.8093424
481,0.90023601,0.83177524,0.78314578,0.8700027,0.80686206
480,0.88942161,0.82495495,0.77515379,0.86382574,0.78401431
479,0.88918495,0.80159174,0.75585819,0.82200688,0.78404235
478,0.86388016,0.79565056,0.75662281,0.85903077,0.77427622
477,0.86327365,0.77669009,0.73816998,0.83957281,0.74044561
476,0.84412723,0.75867874,0.71309865,0.78725368,0.73613939
475,0.84867657,0.7610408,0.69867608,0.77275978,0.73703304
474,0.82674501,0.72089626,0.69263522,0.78901468,0.71365628
473,0.80753384,0.68667518,0.6863112,0.81684413,0.69697761
472,0.78851958,0.68265765,0.68143299,0.79940358,0.7067057
471,0.78095408,0.66947328,0.6735851,0.79138973,0.68684517
470,0.77251461,0.67362747,0.63468006,0.724013,0.66897972
469,0.76270999,0.67032683,0.62871118,0.71566571,0.66496125
468,0.73803775,0.60593077,0.62679247,0.75413519,0.64794693
467,0.73344408,0.59524639,0.60840189,0.70506351,0.63777803
466,0.7269657,0.61661051,0.59241256,0.68783322,0.63333029
465,0.71371118,0.5977173,0.58784289,0.71723017,0.61204291
464,0.69790419,0.57714562,0.57012145,0.67473143,0.59326946
463,0.68179048,0.54531658,0.54625919,0.64411979,0.57053525
462,0.67614563,0.53240474,0.54009116,0.64708829,0.56559622
461,0.67594039,0.54049427,0.5306298,0.61416505,0.54398598
460,0.65552815,0.51686007,0.50785912,0.57216438,0.53468205
459,0.63961592,0.5080413,0.51192419,0.62355483,0.54099414
458,0.62901987,0.50481309,0.50762221,0.63113541,0.53026405
457,0.62424808,0.46900907,0.4869362,0.57060096,0.51007587
456,0.58903606,0.46628111,0.48714995,0.60170499,0.50723323
455,0.59479119,0.46728489,0.47674471,0.60063046,0.49343096
454,0.594565,0.45950937,0.45946329,0.59165333,0.46417934
453,0.58889994,0.47462323,0.4566822,0.60073072,0.4703797
452,0.55586926,0.42849703,0.45855762,0.58665121,0.46655344
451,0.54476337,0.39388057,0.43206495,0.54119177,0.44046987
450,0.54070532,0.39182917,0.41751795,0.49485366,0.43132406
449,0.53481712,0.40541458,0.42365276,0.528747,0.43194021
448,0.51057991,0.36979813,0.41010115,0.50464132,0.42137727
447,0.5080985,0.37146658,0.39471157,0.48774067,0.40453106
446,0.4983182,0.37681094,0.38577705,0.48149759,0.39763352
445,0.47366336,0.33875844,0.38731437,0.48309019,0.38051237
444,0.48738572,0.36985204,0.37346483,0.49308358,0.37718672
443,0.46581736,0.32796579,0.37436151,0.50539144,0.36735024
442,0.43989199,0.3070782,0.35900377,0.4458851,0.36304296
441,0.45306737,0.35502058,0.35365704,0.44371301,0.34556729
440,0.45113438,0.34068716,0.35227213,0.45640038,0.33711298
439,0.43558477,0.31107536,0.35233876,0.44821198,0.34236929
438,0.41799346,0.29930071,0.34736482,0.48307581,0.31894317
437,0.39828363,0.26760732,0.33631218,0.45116094,0.31805632
436,0.41085716,0.31661883,0.33499874,0.44054454,0.31982744
435,0.39502097,0.28620228,0.32469529,0.42808849,0.30828479
434,0.39357408,0.3022263,0.31986698,0.39227543,0.28904323
433,0.37549173,0.27067631,0.32051246,0.39064599,0.29722867
432,0.36441766,0.25744571,0.32416812,0.42040549,0.28723912
431,0.36547597,0.25780042,0.29872506,0.3679675,0.2786999
430,0.38858484,0.31954401,0.31260175,0.40874313,0.2778176
429,0.3510542,0.25655557,0.31735366,0.38669118,0.27109646
428,0.33707613,0.23710202,0.31542303,0.3785328,0.25604825
427,0.33857442,0.27054969,0.30737587,0.3607189,0.25769194
426,0.33068576,0.2860708,0.3220898,0.39914976,0.25668922
425,0.31067031,0.24330502,0.32401745,0.41434727,0.25216916
424,0.31449561,0.2232213,0.30981845,0.36807482,0.24904387
423,0.31846996,0.23319561,0.3170244,0.33911342,0.25236721
422,0.31770619,0.28009214,0.31689608,0.37890536,0.24253007
421,0.32071519,0.26257323,0.31461875,0.37063999,0.25099039
420,0.31201261,0.2636221,0.3129509,0.38432714,0.23846658
419,0.28826117,0.26198579,0.30720635,0.38661662,0.22603436
418,0.28944023,0.25725688,0.30946002,0.37364364,0.22484762
417,0.30221331,0.27823467,0.30850029,0.36710334,0.22637257
416,0.29843422,0.24390733,0.32111322,0.4087114,0.22684184
415,0.29621359,0.26979596,0.32345205,0.43271606,0.21722199
414,0.27824673,0.24226325,0.29943557,0.34987996,0.21406756
413,0.28269868,0.24745389,0.31386394,0.39487354,0.22157581
412,0.28393661,0.24198799,0.32662208,0.39550838,0.22612278
411,0.28453044,0.24471225,0.31351,0.37513826,0.22434304
410,0.26428933,0.22586913,0.31341386,0.35540436,0.22156372
409,0.2552006,0.22421531,0.31718395,0.38201051,0.21077275
408,0.26627498,0.23565828,0.31550422,0.3975636,0.21561605
407,0.2694342,0.22575871,0.31813387,0.37292383,0.22227449
